"date","WeatherDelay","ArrDelay","DepDelay","TaxiIn","TaxiOut","Cancelled","LateAircraftDelay"
"2006-10-04",47,47,55,1,25,0,0
"2006-10-04",50,50,55,4,26,0,0
"2006-10-05",57,57,75,5,17,0,0
"2006-10-06",20,20,32,10,20,0,0
"2006-10-09",27,27,45,3,14,0,0
"2006-10-09",33,33,50,2,10,0,0
"2006-10-11",24,24,40,3,9,0,0
"2006-10-11",40,40,45,2,15,0,0
"2006-10-12",0,NA,NA,0,0,1,0
"2006-10-12",162,162,170,1,20,0,0
"2006-10-12",58,58,75,8,20,0,0
"2006-10-13",0,NA,NA,0,0,1,0
"2006-10-13",39,39,50,1,22,0,0
"2006-11-15",41,41,48,1,16,0,0
"2006-11-15",25,42,25,2,37,0,0
"2006-11-16",45,45,50,3,24,0,0
"2006-11-23",16,16,20,2,25,0,0
"2006-11-28",96,96,105,2,10,0,0
"2006-11-29",0,NA,NA,0,0,1,0
"2006-11-29",177,177,180,5,20,0,0
"2006-11-29",70,71,70,2,28,0,0
"2006-11-30",45,45,45,1,30,0,0
"2006-11-29",5,90,81,3,24,0,76
"2006-11-30",0,NA,NA,0,0,1,0
"2006-11-29",2,80,48,6,48,0,46
"2006-11-29",0,NA,NA,0,0,1,0
"2006-11-02",46,46,55,1,20,0,0
"2006-11-07",18,18,30,3,19,0,0
"2006-11-10",0,NA,NA,0,0,1,0
"2006-11-10",0,NA,NA,0,0,1,0
"2006-11-11",44,50,44,2,32,0,0
"2006-11-12",5,15,5,3,41,0,0
"2006-11-13",0,NA,NA,0,0,1,0
"2006-11-13",35,41,35,6,26,0,0
"2006-11-13",109,109,125,0,21,0,0
"2006-12-16",91,100,91,3,38,0,0
"2006-12-17",84,84,95,2,21,0,0
"2006-12-20",57,64,57,2,27,0,0
"2006-12-21",0,NA,NA,0,0,1,0
"2006-12-21",0,NA,NA,0,0,1,0
"2006-12-21",21,25,21,2,25,0,0
"2006-12-21",65,78,65,8,22,0,0
"2006-12-22",0,NA,NA,0,0,1,0
"2006-12-22",26,26,27,6,17,0,0
"2006-12-24",40,40,50,2,20,0,0
"2006-12-25",16,16,20,3,16,0,0
"2006-12-27",24,24,35,3,19,0,0
"2006-12-31",80,109,80,2,50,0,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-22",27,27,26,10,12,0,0
"2006-12-23",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",10,189,205,5,10,0,179
"2006-12-21",8,178,177,7,13,0,169
"2006-12-01",31,35,31,8,23,0,0
"2006-12-21",10,105,95,9,20,0,85
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-22",58,70,58,10,21,0,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-08",9,38,25,9,23,0,0
"2006-12-22",25,59,61,6,14,0,34
"2006-12-06",16,87,95,8,13,0,71
"2006-12-25",11,16,11,8,24,0,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-22",69,74,69,11,20,0,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",0,NA,NA,0,0,1,0
"2006-12-01",34,54,34,2,48,0,0
"2006-12-01",165,165,175,2,22,0,0
"2006-12-02",25,25,40,2,15,0,0
"2006-12-03",36,36,44,2,18,0,0
"2006-12-03",46,46,70,3,5,0,0
"2006-12-03",57,57,60,1,20,0,0
"2006-12-04",28,31,28,5,25,0,0
"2006-12-04",30,30,48,2,14,0,0
"2006-12-04",29,29,42,2,21,0,0
"2006-12-06",30,30,47,1,11,0,0
"2006-12-06",52,52,68,2,11,0,0
"2006-12-07",0,NA,NA,0,0,1,0
"2006-12-07",29,29,30,4,19,0,0
"2006-12-08",17,17,29,3,16,0,0
"2006-12-11",0,NA,NA,0,0,1,0
"2006-12-11",56,56,66,3,15,0,0
