UniqueCarrier,tailnum,AvgCatchUpTime,iloscWystapien,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
HP,N915AW,-0.1623,12699,Corporation,BOEING,12/27/1993,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
US,N915AW,-3.0973,2481,Corporation,BOEING,12/27/1993,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
OH,N915CA,-1.3043,8911,Corporation,CANADAIR,09/30/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N915DE,0.2588,23540,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,04/13/1993,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
DL,N915DL,-0.0503,22332,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,06/07/1988,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
DL,N915DN,0.0735,14477,Corporation,MCDONNELL DOUGLAS,02/07/1997,MD-90-30,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
EV,N915EV,-3.1630,5833,Corporation,BOMBARDIER INC,01/31/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
OO,N915EV,0.5392,4150,Corporation,BOMBARDIER INC,01/31/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N915FJ,-0.8584,4823,Corporation,BOMBARDIER INC,03/01/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
F9,N915FR,0.2552,4125,Corporation,AIRBUS,11/25/2002,A319-112,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
NW,N915RW,-0.1404,17040,Corporation,DOUGLAS,12/22/1986,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1967
OO,N915SW,-1.4517,11644,Corporation,BOMBARDIER INC,04/23/2002,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
WN,N915WN,-4.7143,287,Corporation,BOEING,04/30/2008,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
OH,N916CA,-1.2375,8083,Corporation,CANADAIR,09/30/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N916DE,0.5620,23305,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,06/11/1993,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
DL,N916DL,0.2596,22454,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,06/13/1988,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
DL,N916DN,-0.3707,14158,Corporation,MCDONNELL DOUGLAS,03/11/1997,MD-90-30,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
EV,N916EV,-2.8067,9841,Corporation,BOMBARDIER INC,03/13/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N916FJ,-0.9199,4916,Corporation,BOMBARDIER INC,03/16/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N916FR,-0.0899,4057,Corporation,AIRBUS INDUSTRIE,12/19/2002,A319-112,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
NW,N916RW,0.5404,18249,Corporation,DOUGLAS,12/22/1986,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1967
OO,N916SW,-1.7852,11827,Corporation,BOMBARDIER INC,04/08/2002,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
US,N916UW,-2.8968,1429,Corporation,BOEING,10/19/2004,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1982
WN,N916WN,-4.3716,183,Corporation,BOEING,05/15/2008,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
OH,N917CA,-1.5361,8569,Corporation,CANADAIR,09/29/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N917DE,-0.4478,22474,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,09/17/1993,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
DL,N917DL,0.1347,22265,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,09/27/2007,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N917EV,-2.8761,9924,Corporation,BOMBARDIER INC,03/26/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N917FJ,-1.2848,4801,Corporation,BOMBARDIER INC,11/01/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N917FR,-0.8897,5104,Corporation,AIRBUS,06/12/2008,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
OO,N917SW,-1.5393,11647,Corporation,BOMBARDIER INC,05/03/2002,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
US,N917UW,-1.5695,1751,Corporation,BOEING,09/17/2004,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1982
WN,N917WN,-3.8049,164,Corporation,BOEING,05/16/2008,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
MQ,N918AE,0.4857,6707,Corporation,EMBRAER,03/29/2005,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
OH,N918CA,-1.2438,8418,Corporation,CANADAIR,09/29/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N918DE,-0.3006,22561,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,10/26/1993,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
DL,N918DL,-0.5446,21431,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,06/14/1988,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
YV,N918FJ,-0.8239,4751,Corporation,BOMBARDIER INC,11/01/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N918FR,-0.8753,5063,Corporation,AIRBUS,03/26/2003,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
OO,N918SW,-2.2232,11558,Corporation,BOMBARDIER INC,07/18/2002,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
UA,N918UA,-1.7591,22528,Corporation,BOEING,11/01/1991,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
US,N918UW,-2.4492,1743,Corporation,BOEING,02/14/2005,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1982
WN,N918WN,-6.0449,89,Corporation,BOEING,05/21/2008,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
FL,N919AT,-1.3273,11363,Corporation,BOEING,04/13/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
